ORD-1009,20/01/2026,Steven Crosby,CUST-591,allenjesus@example.org,001-767-328-9477x541,"390 Campbell Lake
Justinfurt, NV 52404 ",yoga mat,1,USD 29.99,0.0,$2.10,4.99,USD 29.99,EUR,PAID,fulfilled,"California, US",Local Delivery,  ,!!!,ORD-1009,
1010,2025-12-10,Jason Reynolds,21165,smithjohn@example.org,+1-359-929-0160,"\t7485 Ware Drive Apt. 280, East Justin, MT 56580 ",Dumbbell Set 20kg,03,45.0,$0.00,10.8,7.5,USD 135.00,EUR,Refunded,fulfilled,  USA,Express,\t,Leave at door,,
ORD-1011,2025-12-05,Gregory Hernandez,40715, armstrongjessica@example.com,241.263.5572,"3338 Tanner Loaf Apt. 198
Gatesborough, PA 41608",\tRunning Shoes (Pro),01,(89.99),4.5,$6.30,0.00,  89.99,  US$,Partially Refunded,cancelled, US,Standard, wholesale  ,,,
  1012,2025/12/19 00:00:00,Laurie Singleton,CUST-826,lori43 at example.org,2266006252x8311,"10340 Wright Shoals Apt. 773
New Gary, WY 63042",RUNNING SHOES (PRO),6 pcs,"89,99",15%,43.20,FREE,539.9399999999999,\tusd  ,  Chargeback,fulfilled,"California, US",Standard,"wholesale,first-time","  Fragile, handle with care  ",  1012,2025/12/19 00:00:00
#1013,2026-01-19,Kayla Garrison, CUST-235 ,N/A,306.963.2700,"090 Cohen Haven
Weberbury, KY 84155",Running Shoes (Pro),2,\t89.99 ,$27.00,USD 14.40,0,179.98,USD,Refunded,FULFILLED,United States,International,  vip,,,
01014 ,2025-12-08,David Ross,50178,mcdonaldsteven@example.org,642.613.7404,"188 Lori Terrace Suite 880
Shaunland, IA 22906",Yoga Mat,4 pcs,\t29.99  ,,(7.20),\t(0.00) ,119.96,,Unpaid,FULFILLED,"United States, CA",Local Delivery,,"Fragile, handle with care",,
1015-01,12-01-2025 00:00,"Solomon, Melanie",CUST-713,karigalvan@example.net,001-631-626-9673,"4091 Johnson Divide, Andradeport, AZ 87481",  Running Sho3s (Pro),10,89.99, $89.99  ,$62.99,$7.50,  USD 899.90  ,EUR,Partially Refunded,unfulfilled  , United States of America  ,Pickup ,"first-time,backorder,gift",Leave at door,1015-01,
\t01016,09/12/2026,Jessica Cross,81352,\tamanda07@example.com ,-,"Unit 8706 Box 0432, DPO AA 01963",Stainless Water Bottle,10,$15.50,0.0,\t$10.85  ,$9.99,"155,00",USD,PAID,cancelled,U.S.A.,\tExpress ,vip, ,,09/12/2026
Order ID,Order Date,Customer Name,Customer ID,Email,Phone,Address,Product,Quantity,Unit Price,Discount,Tax,Shipping Cost,  Total Price ,Currency, Payment Status  ,Fulfillment Status,Shipping Country,Shipping Method,Order Tags,Notes,,
1018,  25/01/2026  ,Katelyn Peters,86462,yleach@example.com,673.481.9013x56313,"6732 Garrett Trail
East George, MO 71926",Stainless Water Bottle,03,"\t15,50  ",5%,2.79,USD 9.99,  USD 46.50  ,  usd  ,Paid,fulfilled,U.S.A.,Express,first-time/vip/gift,!!!,1018,
null,N/A,  Sharon Velez,62739,\talexander14@example.net,001-298-218-5477x26431,"82510 Carol Fields Suite 301
Port Kenneth, FL 90660",Yoga Mat,2,29.99,(6.00),USD 4.20,"7,50",59.98, USD ,Unpaid,cancelled,United States,Standard,gift,,,
01020,2025/12/29 00:00:00,Cheryl Hamilton, CUST-341,,N/A,"554 King Forges Suite 507, Meganshire, VT 99078",Stainl3ss Water Bottle,1,(15.50),1.55,$0.93,  FREE,1,\tusd ,paid,partial,U.S.A.,  Standard ,,Leave at door,,2025/12/29 00:00:00
ORD1021,03/01/2026,Jordan Brown,CUST-473,  hgonzalez@example.net ,313-450-3668x077,"USNV Miller, FPO AA 97917",Whey Protein,7-8,35.0,,USD 19.60,  FREE ,(245.00),,Unpaid,FULFILLED,United States,Local Delivery,first-time ; gift,!!!,ORD1021,
1022-01,2026-01-26,William Meyer,\t   ,,\t2188386588,"\t3981 Randy Walk Suite 069, Allisonport, AK 99689 ",WheyProtein,09  ,USD 35.00,31.50,5%,4.99,$315.00,US$,Paid,cancelled,US-CA  ,Local Delivery,"wholesale,backorder",Leave at door,,
01023,2025-12-14,Amanda Rose,\t56932  ,annberry@example.org,824 334 7998," 783 Brandon Port
Underwoodtown, HI 51386",Running Shoes (Pro),6 pcs,USD 89.99,$80.99,$43.20,0,(539.94),,Partially Refunded,unfulfilled,USA,Local Delivery,"wholesale , backorder",,,
#1024,2026-01-25,Cassandra Watson,10721, ,+1-571-547-0048x927,"082 Schaefer Inlet
Port Amyville, ME 73992", Yoga Matt ,6 pcs,"\t15,50",0.0,7.44,4.99,USD 93.00,US$,Partially Refunded,partial,US-CA,Express,first-time ; backorder ; gift,Call before delivery,#1024,2026-01-25
#1025, 2026.01.04 ,Monica Miles,89161,N/A,(464)293-7863x516, ,Wh3y Protein,10  ,\tUSD 35.00,35.00, 28.0,9.99, $350.00  ,USD,Unpaid,  partial,usa,Standard,"wholesale,backorder",Call before delivery,,
ORD-1026,\t2025/12/06 00:00:00 , Rachel Evans  ,  CUST-145,wyattsara at example.org,540.362.7218x3856,"7907 Brock Isle Apt. 076
West Charleston, SD 44618",Running Shoes (Pro),1,89.99,0.0,"5,40",  (4.99),$89.99,usd,\tpaid  ,unfulfilled,United States of America,\tLocal Delivery,  gift ," Fragile, handle with care ",,
ORD1027,2025-12-06,"Johnson, Jill",CUST-592,lorigay@example.org,null,"693 Connor Islands Apt. 966
Lake Jennifermouth, TX 97704",Yoga Mat,7,29.99,USD 10.50,\t12.60 ,"7,50",209.92999999999998,EUR, PAID,  partial  ,United States,Local Delivery,first-time,Leave at door,ORD1027,
 #1028,2025-12-31,Lisa Wright,40449,matthewtaylor@example.org ,2693630327,"1553 Vasquez Court Apt. 150
Candiceland, AR 22122",  Whey Protein  ,10,35.0,(0.00),21.00,"4,99", (350.00),usd,Paid,cancelled,"United States, CA  ", Local Delivery ,vip,"Fragile, handle with care",,2025-12-31
1029-01,2026-01-05,Rebecca Wood,,\tawillis@example.com ,592-605-4439,509 Allison Glen Apt. 621 Michaelview WA 12171,dumbbell set 20kg,04,\tUSD 45.00,$0.00,10.8,9.99,180.0,EUR,Refunded,fulfilled,"California, US",Pickup  ,gift ; wholesale,,,
1030-01,\t24/12/2025  ,Samuel Turner,34039,  JENNIFERSANDERS@EXAMPLE.NET ,8017249826,"92360 Mccann Dam Apt. 134
North Dylan, MA 53942",DUMBBELL SET 20KG,4-5, $45.00,USD 9.00,15%,4.99,180.0,usd,Chargeback, unfulfilled  ,US-CA,Standard  ,vip,,1030-01,
  1031-01,\t12-28-2025 00:00  ,"Lynch, Brittany",CUST-224,fieldsisaiah@example.org,+1 875 429 4688x68396,"Unit 3489 Box 0420, DPO AA 36142",whey protein, 1  ,35.00,20%,$2.10,USD 7.50,USD 35.00,,Paid,fulfilled,"United States, CA",International,wholesale,\t!!!  ,,
1032,\t27/12/2025  ,Ashley Bond,CUST-901,N/A,  991.330.3393 ,"4942 Regina Bridge Apt. 150
East Williambury, AZ 26338",US,6-7,89.99,0.0,$37.80,0,539.9399999999999,,paid,partial,RUNNING SHOES (PRO),Local Delivery,,"Fragile, handle with care",,\t27/12/2025  
01033,2026.01.02,Tommy Koch,25934,ccrawford@example.org,(776)249-6531,"812 Walker Roads, New Franklin, AZ 99567",U S A,2-3,89.99,15%,\tUSD 12.60  ,0,"179,98",,PAID,  partial,Running Shoes (Pro),\tInternational  , vip,,01033,
 1034 ,2021-01-30,"Moore, Kevin",CUST-889,LANCE88@EXAMPLE.COM,  (581)278-2636x85499,"930 Wang Shoal
Robertburgh, MD 37092",Dumbbell Set 20kg, 10,  USD 45.00  ,USD 22.50,$31.50,(7.50),450.0,EUR,  Unpaid  ,fulfilled,US,\tInternational,,!!!,,
\tOrder ID  ,  Order Date ,Customer Name,Customer ID,Email,Phone,Address,  Product,Quantity,Unit Price,Discount,Tax,Shipping Cost,Total Price,Currency,Payment Status,Fulfillment Status,Shipping Country, Shipping Method ,Order Tags,Notes,,
ORD1036,2025-12-12,Brian Maynard,62150,,  9695561522,"48060 Lyons Forest
Ortizville, KS 35209",WheyProtein,10-11,USD 35.00,(0.00),,USD 9.99 ,350.0,EUR ,Paid,partial,U S A,Local Delivery,gift;vip,"Fragile, handle with care",ORD1036,2025-12-12
ORD-1037,,Michael Davidson,76013,sarah66 at example.net,424-595-1265,-,stainless water bottle,9.0,(15.50)  ,20%, 8.37,USD 0.00,139.5,USD, Unpaid,FULFILLED,usa, Pickup  ,wholesale;vip;first-time,   ,,
1038-01,,Patrick Myers,CUST-203,meganstewart@example.org,342.260.4101x1641,"  3469 Wagner Fords Apt. 601
Debbiefurt, MA 51751  ",Runner Shoes Pro,1.0,"45,00",$2.25,USD 3.60 ,4.99  ,45.0,EUR,PAID,partial,United States ,Express,  first-time,Call before delivery,,
#1039,01-13-2026 00:00,John Sanders,\tCUST-831,timothycarroll@example.org, - ,"7374 Matthew Extension Suite 300, Lake Dakota, ME 77904",\tStainless Water Bottle ,5,$15.50,  $3.88  ,4.65,4.99,USD 77.50,USD,Refunded,FULFILLED,United States of America,Local Delivery,,Call before delivery,#1039,
 ,15/01/2026,Dan Cole,N/A,iguerrero@example.net,521-787-5787x40309,"53305 Megan Turnpike Suite 901
Lake Christine, WV 23492", Wh3y Protein ,07,35.0,24.50,USD 14.70,USD 0.00,$245.00,usd,Refunded,cancelled,US-CA,  Local Delivery  ,gift ; vip ; wholesale,   ,,15/01/2026
1041-01,12-20-2025 00:00,"Johnson, Joanne",20121,zward@example.org,N/A,"USCGC Ramsey
FPO AP 15815",Whey Protein,9.0,$35.00,$0.00,,$0.00,315.00,  , Partially Refunded,partial,US,Local Delivery,,,,
01042, yesterday,"Ortiz, Michael",27125,haleernest@example.net,-,"\t17833 Stewart Plaza Apt. 526
Brownside, AR 70686 ",  Yoga Mat  ,10-11,  29.99  ,44.98,USD 17.99,4.99,"299,90",usd,Partially Refunded,fulfilled,United States of America,International,gift ; first-time,"Fragile, handle with care",01042,
 1043 ,01-01-2026 00:00,"Roth, Leah",49512,schwartzmichele@example.com,+1-203-992-5261,"PSC 8566, Box 0883
APO AA 32975",Dumbbell Set 20kg,10 pcs,"45,00",\t$0.00 ,"27,00",4.99,450.0,,PAID  ,unfulfilled,usa,International,backorder,"Fragile, handle with care",,
ORD1044,  05/12/2025 ,Marc Jordan,43953,fieldscasey@example.net,4364336161,,Dumbbell Set 20kg,6 pcs,  45.0,13.50,(16.20),USD 0.00,270.00,EUR,Chargeback,FULFILLED,United States,\tLocal Delivery  ,vip/wholesale/backorder,Call before delivery,,  05/12/2025 
#1045,2026/01/02 00:00:00,Benjamin Johnson,CUST-929,N/A ,(862)691-4626,"0680 Quinn Forest Suite 307
Michellechester, WA 83775",Whey Protein,6,  35.00  ,"31,50", 12.60  ,USD 7.50,210.0,EUR,Chargeback,FULFILLED,United States,Express,  gift;vip ,Call before delivery,#1045,
#1046,2026/01/09 00:00:00,David Bullock,CUST-787,unknown@,908-842-4272," 37991 Malone Brook
Ryanstad, CA 89135  ",yoga mat,4,(29.99), (17.99) ,10%,"9,99",(119.96),USD,Partially Refunded,fulfilled,USA,Pickup,vip/backorder/wholesale,Leave at door,,
-,26/12/2025,Yvonne Tucker,CUST-367,lisa28 at example.net,001 971 876 7222x0785,"976 Hernandez Plaza
Danielland WY 01092",Whey Protein,4 pcs,35.00," 21,00",8.4,7.50,$140.00,usd,PAID,unfulfilled,US-CA,International,,\tLeave at door,,
ORD1048,  2025-12-10  ,Anna Payne,CUST-658,BMILLER@EXAMPLE.NET,566588 8103,"86221 Espinoza Fields
Lake Oscarberg, OR 29136",WheyProtein,  8-9,35.0,0.00,(19.60),FREE," 280,00 ",\tusd  ,Partially Refunded, FULFILLED  ,U.S.A.,Pickup,first-time ; vip ; gift,,ORD1048,  2025-12-10  
  ORD-1049  ,  2026/01/09 00:00:00,Kelly Diaz,69298,whamilton@example.org,(998)245-4387,na,Yoga Matt,1,(15.50),(2.32)  ,1.24,9.99,15.5,USD,Chargeback,partial,US-CA, Express  ,wholesale,,,
01050  ,\t2026-01-20 ,Sarah Adams,CUST-927,JASONWARD@EXAMPLE.ORG ,552.291.9875x9393,"810 Laura Mills, Harrismouth, VT 76915",Stainless Water Bottle,04,\t15.5 ,,\tUSD 4.96,0.00,(62.00),USD,  Partially Refunded ,FULFILLED,USA,Standard,backorder,!!!,,
 1051 ,20/01/2026,Lauren Grant, CUST-627 ,,001 276 684 2507x25738,NULL,Whey Protein,7,  35.0 ,  USD 12.25,17.15,9.99,245.0,,paid,fulfilled,U.S.A.,Local Delivery,backorder/gift,Call before delivery, 1051 ,
 1052 ,02/12/2025,  Jesse Griffin,13588,jessica68@example.org, ,"516 Mark Lodge
Michelleside, MP 10277",Running Shoes (Pro),10,89.99, USD 45.00,$62.99,USD 4.99,$899.90,USD,  Chargeback,  fulfilled  ,United States,Express,wholesale,Leave at door  ,,02/12/2025
ORD-1053,2026/01/08 00:00:00,\tJason Cook ,CUST-420  ,raymondhorn@example.org,001-752-894-0716,"\t6002 Maureen Views Suite 406
Ashleyview, CO 53713",running shoes (pro),2-3,89.99,20%,10.80,7.50,$179.98 ,,paid,cancelled,US-CA,Local Delivery,first-time,!!!,,
1054,2025.12.19,Matthew Cruz,\tCUST-405 , kathleen38@example.net  ,5259189999,"  366 Macias Mountain Apt. 141
West Yolanda, TN 15912",Dumbbell Set 20kg  ,3 pcs,(45.00),USD 13.50,10.80,7.5,135.0,US$,Chargeback,partial,"United States, CA",Pickup,,,1054,
   1055  ,2025/12/10 00:00:00,Tracy Gould,36487,delacruzbrent@example.com,799.576.6497x62012,N/A,Yoga Mat,10-11,29.99,44.98,$20.99,  7.50 ,\t$299.90  ,usd,Chargeback,cancelled,US-CA,Pickup,"first-time,backorder",\tCall before delivery  ,,
  1056   ,19/01/2026,Jennifer Richards,51408,,377.580.9780x41710,-, Running Shoes (Pro) ,09,"89,99",USD 40.50,  56.69,FREE,$809.91,EUR,Paid,partial,USA,Pickup,vip,,,19/01/2026
01057,01-17-2026 00:00,Paula Mckee DVM,33119,  ricardo41@example.net  ,(849)656-0440,, Yoga Mat,7 pcs,"29,99",USD 10.50,12.6,0.00,209.92999999999998,USD,Paid,unfulfilled,"United States, CA",Express,"vip,first-time,backorder",,01057,
 01058  ,2026/01/20 00:00:00," Mason, Holly ",CUST-144,MULLINSVICTORIA@EXAMPLE.ORG,(932)216-7502,55679 Donna Creek Apt. 868 Port Jennifershire AL 11403,Stainless Water Bottle,5, 15.50,(7.75),5.43,USD 0.00,77.5,USD,Partially Refunded, fulfilled ,U.S.A., Standard,wholesale;vip;first-time, ,,
1059-01,2026/01/24 00:00:00,Charles Barr,NULL,shannon52@example.com,654 590 1351,"673 Collins Trafficway, Khanbury, NM 63006",running shoes (pro),5,"89,99",67.49,  36.00 ,(4.99),449.95,usd,Refunded,partial,US,Express,,"Fragile, handle with care",,
-,02-14-2021 00:00,  Stephanie Garrett  ,28354,,472-817-1673,"8399 Winters Isle
Port Michelle, VI 44130",Yoga Mat,3,\t$29.99 ,9.0,7.2, $0.00,$89.97,US$  ,PAID,cancelled,U S A,Standard,\twholesale|first-time,  ,-,02-14-2021 00:00
ORD1061,27/12/2025,Jessica Johnson,CUST-196,xconrad@example.com,001-815-464-5168x199,"304 Glenn Squares Apt. 437
South Ericside, NH 36636",  Whey Protein ,3-4,35.0,5.25,6.3,7.5,USD 105.00,usd,PAID,\tpartial ,\tUnited States,Standard,vip ; gift ; first-time,Call before delivery,,
01062,11-28-2025 00:00,Caitlin Williams,39014, huffmandavid at example.org  ,  499-424-0239x423  ,"3976 Thomas Harbors Suite 259
Parkerton, WI 79901",DumbbellSet20kg,8.0,45.0,36.0,28.80,$9.99,"360,00",US$,Unpaid,cancelled,"United States, CA ",Express,,Call before delivery,,
1063-01,,\tKevin Clark,CUST-105,stephensvictor@example.com,(745)911-6220x59122,"35266 Tara Isle Suite 220
Scottberg NY 35976",Dumbb3ll Set 20kg,\t3,\t45.00 ,5%, USD 9.45  ,7.5,"135,00",US$,Chargeback ,FULFILLED,United States,Pickup,"first-time,backorder",  ,1063-01,
  #1064,2025/12/02 00:00:00,Elizabeth Hendrix ,35674,duncancarolyn@example.com,001-737-805-2556x7528,"9912 Bernard Street
Richardsontown, PW 19462",Running Shoes (Pro),8.0,89.99,"0,00",$43.20,"0,00",719.92 ,  usd,Partially Refunded,fulfilled,  U.S.A.  ,International,vip;wholesale,Leave at door,,2025/12/02 00:00:00
\t#1065  ,2025-12-13,Kara Beard, CUST-713,gjackson@example.net,\t746 218 4137x488 ,"  740 Pacheco Green Suite 247
North Jenniferville, FL 72353 ",\tDumbbell Set 20kg,  10-11  ,\t(45.00),"\t45,00  ",20% ,FREE,450.0,,Refunded,unfulfilled,United States,Express,gift,Call before delivery,,
1066-01,2025-12-27,"Wright, Alicia",CUST-425,victor37@example.net,(690)240-4433x1911 ," USNV Anderson
FPO AP 32433",RunningShoes(Pro),  10 pcs ,  89.99,89.99,,9.99,899.9,,\tpaid  ,unfulfilled,United States of America, Express ,wholesale,  ,1066-01,
01067,2025-12-22,"Pham, Rebecca",83015,NICOLEMEDINA@EXAMPLE.ORG,(357)393-0676,"161 Nancy Ramp
South Christychester, GA 65297",Whey Protein,1.0,  35.0 ,,"2,80",,35.0,usd,Unpaid,cancelled,USA,\tLocal Delivery ,vip/backorder/wholesale ,"Fragile, handle with care",,
#1068,2025.12.02,Jamie Morales,CUST-982,ruizkatherine at example.com,(250)734-6231x64977,"USNV Smith
FPO AE 88887",Stainless Water Bottle,\t3-4 ,(15.50),0.0,$3.72,$7.50,"46,50",\tEUR,Paid,cancelled,United States of America,Express,\tfirst-time;backorder;gift,\tCall before delivery  ,,2025.12.02
#1069,\t2026-01-06 ,Ashley Hill,98409 ,andersonsherry@example.net,  001-648-328-5471,"7322 Rodgers Ramp Suite 161
Kennethville, OH 05261",Stainless Water Bottle,\t9 ,,USD 6.98,8.37,FREE,USD 139.50,US$,Refunded,FULFILLED,US-CA,Express,"\tgift , backorder  ",,#1069,
  #1070  ,2026/01/08 00:00:00,Dawn Montoya,48553  ,anna90@example.net,417.863.5131x03723,"8385 Elizabeth Ports Apt. 604
South Joseph, VI 58615",Whey Protein,6,35.00,  31.5  , 14.7 ,4.99,$210.00 ,usd,paid,partial,United States,Standard,wholesale,"Fragile, handle with care",,
#1071,2025-12-26  ,Alexandra Bryant,65955,  N/A,(258)402-9636x6072,"324 Stein Lock Suite 989
Bridgetfurt, GU 90250",Running Shoes (Pro)  ,10-11,89.99,$0.00,62.99 ,,899.9,,PAID,cancelled,  United States of America ,Express,gift/wholesale/vip,Call before delivery,,
  #1072 ,2026/01/18 00:00:00,Brian Robinson,CUST-801,chambersstacy@example.org,(364)505-9783,"475 Reed Brooks Suite 058
East Susan, MP 71239", Whey Protein  ,2-3,$35.00,"0,00",5.6,9.99,USD 70.00,,  PAID , partial  , US-CA,International,,,  #1072 ,2026/01/18 00:00:00
1073,2025-12-28,Anthony Higgins,CUST-938,rbraun@example.org,001-603-369-4634,"  60111 Suzanne Meadows Apt. 876
Nicoleville, KY 79269  ",Dumbbell Set 20kg,10-11,(45.00),"0,00",36.00,7.5,\t450.00  ,usd,Paid,partial,US-CA,Express,wholesale,Call before delivery,,
ORD1074,\t01/12/2025 ,Spencer Lam,CUST-145,amy40 at example.net,+1-886-412-8614x556,"420 Adam Ford
North Kathleenchester, WA 50856",Dumbbell Set 20kg,7,45.0,  $31.50,(22.05),USD 7.50,$315.00,USD,Unpaid,FULFILLED,"California, US",Pickup,"wholesale,vip,gift","  Fragile, handle with care  ",,
01075,2026-01-09,Alfred Daniels,null,thompsondonna@example.net,NULL,"99832 Collins Passage
South John PA 29996",United States of America,3.0,"29,99",(0.00),7.2, (0.00) ,89.97,EUR,PAID,cancelled,Runner Shoes Pro,\tPickup ,"backorder , wholesale",,01075,
 ORD-1076,12-01-2025 00:00,"Flores, Rachel",N/A,JASONEDWARDS@EXAMPLE.ORG,+1-703-901-6383x54792,"4761 James River Apt. 101
South Shannon, MH 40555",dumbbell set 20kg, 7.0,45.00,0.00,10%,,,, Chargeback, cancelled  ,"California, US",\tPickup ,,\tCall before delivery ,,12-01-2025 00:00
ORD-1077,N/A,Beverly Nelson,CUST-123,unknown@,924876 7409x8664,"3188 Flores Valleys Apt. 011
North Daniel, IN 55193",Running Shoes (Pro),6-7,89.99,  USD 0.00  ,37.8,$4.99,539.9399999999999,usd,Paid,unfulfilled,"United States, CA",International,gift|wholesale|first-time,,,
1078,,John Bailey,97408  ,\tN/A  ,2864213087,"4199 Townsend Wall
Port Michele, MP 63530",dumbbell set 20kg,8 pcs,45.00  ,0.0,15%,4.99,360.0,,PAID,unfulfilled,US,Standard,wholesale ; gift,Leave at door,1078,
 1079   ,,James Hernandez,88184,brianpatterson@example.com,2185974111,"Unit 1729 Box 2918, DPO AP 59756",\tDumbbell Set 20Kg ,8,45.0,54.0,"  21,60 ", USD 9.99 ,"360,00",,\tpaid ,FULFILLED,U.S.A.,Standard,gift|first-time|vip,,,
01080,today,Bianca Mills,CUST-557,davidneal at example.org,562.331.3903,"317 Gibson Pine
Lopezburgh, MT 43848",Dumbbell Set 20kg,6,45.00,5%,16.2,FREE,6,EUR,Refunded,unfulfilled,US-CA,Standard,vip;wholesale,"Fragile, handle with care",,today
 1081 ,2025-12-24,Catherine Mccoy,90806,unknown@,(758)289-7614x352,,Yoga Mat,7.0,29.99,10%,$16.79,FREE,209.92999999999998,EUR,Paid ,unfulfilled,"California, US",Local Delivery,   ,Call before delivery, 1081 ,
 1082 ,2026/01/26 00:00:00,"Harmon, Eric",NULL,MHUANG@EXAMPLE.ORG,+1-325-532-2649x40772, ,Dumbb3ll Set 20kg ,5 pcs, $45.00 ,33.75,\t15.75 ,"4,99","  225,00 ",usd,PAID,FULFILLED,United States of America,Pickup,vip/gift/wholesale,"Fragile, handle with care",,
#1083,2025-12-29,Brandi Hudson,  CUST-429,christy21@example.com,920.601.0140," 63874 Wilson Turnpike Apt. 760, Larryborough, VI 16543 ",Running Shoes (Pro),\t8,$89.99,10%,\t$43.20  ,USD 4.99,$719.92  ,usd,\tUnpaid  ,partial ,\tUSA,Express,vip/wholesale/backorder,,,
ORD1084,2025.12.27,Nathan Gill,CUST-645,pblankenship@example.org,001-752-525-1167x7735,"84626 Ashley Skyway Suite 393
Reyesbury, KY 23898",Stainless Water Bottle,1.0,(15.50),$2.32,$0.93,USD 9.99,$15.50,USD,Paid,unfulfilled,U.S.A.,Express,"backorder,gift",!!!,ORD1084,2025.12.27
#1085,19/01/2026,William Stokes,78460,glenda33@example.net,567.285.3053,"0367 Margaret Unions Apt. 169
North Kyle, AZ 89497",Dumbbell Set 20kg,2-3,(45.00),(4.50),5.4 ,USD 4.99,USD 90.00,  ,paid  , FULFILLED,US-CA,Local Delivery,gift;wholesale;vip,Call before delivery,,
  1086 ,,Andrew Davis,CUST-331,  JAMESBROOKS@EXAMPLE.COM ,+1-880-478-7826x368,8817 Holly Ramp Suite 823 Tammyport AS 05950,Dumbbell Set 20kg,9,45.0,,$28.35,USD 0.00,405.0,EUR,Refunded,partial,US,Local Delivery,gift,"Fragile, handle with care",,
 1087 ,01-07-2026 00:00,Joel Turner,54490,\tronald95 at example.org,889.323.4886x1177,"0340 Michael Centers
Amandastad, MO 52151",  Yoga Mat ,\t4 ,29.99,$0.00,7.2,USD 4.99,119.96, usd, Paid,unfulfilled,US-CA,International,,, 1087 ,
01088,,"Allen, Paul",\t82682  ,tyler94@example.com,\t ,"71214 John Loaf Apt. 643, East Jessicachester, AZ 80769",\tRunner Shoes Pro ,8-9,45.0,\t(0.00),(25.20),FREE,360.00,usd,Chargeback,fulfilled, U S A  ,Standard  ,"gift,backorder,wholesale",!!!,,
01089 ,  05/01/2026,Olivia Thomas, 79773,danabryant@example.net, +1 868 343 0514x51653 ,"434 Allen Forest
Lake Kyle, CT 23217",Running Sho3s (Pro),9,USD 89.99, 0.0,20%,$7.50,,US$,Refunded,cancelled,"United States, CA",Local Delivery,vip,  !!!  ,,
1090-01,,Elizabeth Gordon,CUST-287, marksmith@example.net,001-506-253-7613x58529, ,United States of America,8-9,USD 29.99,(0.00),16.79,(4.99),(239.92),,Paid,partial,yoga mat,Express,backorder,,1090-01,
ORD1091,2016-01-08  ,Patrick Ward,39698,ghicks@example.com,001-741-224-8826x949,"0775 Kimberly Camp Apt. 381
Michaeltown WY 04488",  DUMBBELL SET 20KG ,8,45.00,USD 54.00,28.8,4.99,"360,00",usd,Paid,cancelled,U S A,Pickup,gift|first-time,Call before delivery,,
