order_id,order_date,customer_name,customer_id,email,phone,address,product,quantity,unit_price,discount,tax,shipping_cost,total_price,currency,payment_status,fulfillment_status,shipping_country,shipping_method,order_tags,notes,orderid,orderdate
1010,2025-12-10,Jason Reynolds,21165,smithjohn@example.org,13599290160,"7485 Ware Drive Apt. 280, East Justin, MT 56580",Dumbbell Set 20kg,3.0,45.0,0.0,10.8,7.5,135.0,EUR,refunded,fulfilled,USA,Express,,Leave at door,,
ORD-1011,2025-12-05,Gregory Hernandez,40715,armstrongjessica@example.com,2412635572,"3338 Tanner Loaf Apt. 198 Gatesborough, PA 41608",Running Shoes (Pro),1.0,-89.99,4.5,6.3,0.0,89.99,US$,partially refunded,cancelled,US,Standard,wholesale,,,
1012,2025-12-19,Laurie Singleton,CUST-826,lori43 at example.org,22660062528311,"10340 Wright Shoals Apt. 773 New Gary, WY 63042",RUNNING SHOES (PRO),6.0,89.99,0.15,43.2,,539.9399999999999,USD,chargeback,fulfilled,"California, US",Standard,wholesale;first-time,"Fragile, handle with care",1012,2025-12-19
#1013,2026-01-19,Kayla Garrison,CUST-235,,3069632700,"090 Cohen Haven Weberbury, KY 84155",Running Shoes (Pro),2.0,89.99,27.0,14.4,0.0,179.98,USD,refunded,fulfilled,United States,International,vip,,,
01014,2025-12-08,David Ross,50178,mcdonaldsteven@example.org,6426137404,"188 Lori Terrace Suite 880 Shaunland, IA 22906",Yoga Mat,4.0,29.99,,-7.2,-0.0,119.96,,unpaid,fulfilled,"United States, CA",Local Delivery,,"Fragile, handle with care",,
1015-01,2025-12-01,"Solomon, Melanie",CUST-713,karigalvan@example.net,0016316269673,"4091 Johnson Divide, Andradeport, AZ 87481",Running Sho3s (Pro),10.0,89.99,89.99,62.99,7.5,899.9,EUR,partially refunded,unfulfilled,United States of America,Pickup,first-time;backorder;gift,Leave at door,1015-01,
01016,2026-09-12,Jessica Cross,81352,amanda07@example.com,,"Unit 8706 Box 0432, DPO AA 01963",Stainless Water Bottle,10.0,15.5,0.0,10.85,9.99,155.0,USD,paid,cancelled,U.S.A.,Express,vip,,,2026-09-12
Order ID,,Customer Name,Customer ID,email,Phone,Address,Product,,,,,,,CURRENCY,payment status,fulfillment status,Shipping Country,Shipping Method,order tags,Notes,,
1018,2026-01-25,Katelyn Peters,86462,yleach@example.com,673481901356313,"6732 Garrett Trail East George, MO 71926",Stainless Water Bottle,3.0,15.5,0.05,2.79,9.99,46.5,USD,paid,fulfilled,U.S.A.,Express,first-time;vip;gift,!!!,1018,
,,Sharon Velez,62739,alexander14@example.net,001298218547726431,"82510 Carol Fields Suite 301 Port Kenneth, FL 90660",Yoga Mat,2.0,29.99,-6.0,4.2,7.5,59.98,USD,unpaid,cancelled,United States,Standard,gift,,,
01020,2025-12-29,Cheryl Hamilton,CUST-341,,,"554 King Forges Suite 507, Meganshire, VT 99078",Stainl3ss Water Bottle,1.0,-15.5,1.55,0.93,,1.0,USD,paid,partial,U.S.A.,Standard,,Leave at door,,2025-12-29
ORD1021,2026-03-01,Jordan Brown,CUST-473,hgonzalez@example.net,3134503668077,"USNV Miller, FPO AA 97917",Whey Protein,7.5,35.0,,19.6,,-245.0,,unpaid,fulfilled,United States,Local Delivery,first-time;gift,!!!,ORD1021,
1022-01,2026-01-26,William Meyer,,,2188386588,"3981 Randy Walk Suite 069, Allisonport, AK 99689",WheyProtein,9.0,35.0,31.5,0.05,4.99,315.0,US$,paid,cancelled,US-CA,Local Delivery,wholesale;backorder,Leave at door,,
01023,2025-12-14,Amanda Rose,56932,annberry@example.org,8243347998,"783 Brandon Port Underwoodtown, HI 51386",Running Shoes (Pro),6.0,89.99,80.99,43.2,0.0,-539.94,,partially refunded,unfulfilled,USA,Local Delivery,wholesale;backorder,,,
#1024,2026-01-25,Cassandra Watson,10721,,15715470048927,"082 Schaefer Inlet Port Amyville, ME 73992",Yoga Matt,6.0,15.5,0.0,7.44,4.99,93.0,US$,partially refunded,partial,US-CA,Express,first-time;backorder;gift,Call before delivery,#1024,2026-01-25
#1025,2026-01-04,Monica Miles,89161,,4642937863516,,Wh3y Protein,10.0,35.0,35.0,28.0,9.99,350.0,USD,unpaid,partial,usa,Standard,wholesale;backorder,Call before delivery,,
ORD-1026,2025-12-06,Rachel Evans,CUST-145,wyattsara at example.org,54036272183856,"7907 Brock Isle Apt. 076 West Charleston, SD 44618",Running Shoes (Pro),1.0,89.99,0.0,5.4,-4.99,89.99,USD,paid,unfulfilled,United States of America,Local Delivery,gift,"Fragile, handle with care",,
ORD1027,2025-12-06,"Johnson, Jill",CUST-592,lorigay@example.org,,"693 Connor Islands Apt. 966 Lake Jennifermouth, TX 97704",Yoga Mat,7.0,29.99,10.5,12.6,7.5,209.93,EUR,paid,partial,United States,Local Delivery,first-time,Leave at door,ORD1027,
#1028,2025-12-31,Lisa Wright,40449,matthewtaylor@example.org,2693630327,"1553 Vasquez Court Apt. 150 Candiceland, AR 22122",Whey Protein,10.0,35.0,-0.0,21.0,4.99,-350.0,USD,paid,cancelled,"United States, CA",Local Delivery,vip,"Fragile, handle with care",,2025-12-31
1029-01,2026-01-05,Rebecca Wood,,awillis@example.com,5926054439,509 Allison Glen Apt. 621 Michaelview WA 12171,dumbbell set 20kg,4.0,45.0,0.0,10.8,9.99,180.0,EUR,refunded,fulfilled,"California, US",Pickup,gift;wholesale,,,
1030-01,2025-12-24,Samuel Turner,34039,jennifersanders@example.net,8017249826,"92360 Mccann Dam Apt. 134 North Dylan, MA 53942",DUMBBELL SET 20KG,4.5,45.0,9.0,0.15,4.99,180.0,USD,chargeback,unfulfilled,US-CA,Standard,vip,,1030-01,
1031-01,2025-12-28,"Lynch, Brittany",CUST-224,fieldsisaiah@example.org,1875429468868396,"Unit 3489 Box 0420, DPO AA 36142",whey protein,1.0,35.0,0.2,2.1,7.5,35.0,,paid,fulfilled,"United States, CA",International,wholesale,!!!,,
1032,2025-12-27,Ashley Bond,CUST-901,,9913303393,"4942 Regina Bridge Apt. 150 East Williambury, AZ 26338",US,6.5,89.99,0.0,37.8,0.0,539.9399999999999,,paid,partial,RUNNING SHOES (PRO),Local Delivery,,"Fragile, handle with care",,2025-12-27
01033,2026-01-02,Tommy Koch,25934,ccrawford@example.org,7762496531,"812 Walker Roads, New Franklin, AZ 99567",U S A,2.5,89.99,0.15,12.6,0.0,179.98,,paid,partial,Running Shoes (Pro),International,vip,,01033,
1034,2021-01-30,"Moore, Kevin",CUST-889,lance88@example.com,581278263685499,"930 Wang Shoal Robertburgh, MD 37092",Dumbbell Set 20kg,10.0,45.0,22.5,31.5,-7.5,450.0,EUR,unpaid,fulfilled,US,International,,!!!,,
ORD1036,2025-12-12,Brian Maynard,62150,,9695561522,"48060 Lyons Forest Ortizville, KS 35209",WheyProtein,10.5,35.0,-0.0,,9.99,350.0,EUR,paid,partial,U S A,Local Delivery,gift;vip,"Fragile, handle with care",ORD1036,2025-12-12
ORD-1037,,Michael Davidson,76013,sarah66 at example.net,4245951265,,stainless water bottle,9.0,-15.5,0.2,8.37,0.0,139.5,USD,unpaid,fulfilled,usa,Pickup,wholesale;vip;first-time,,,
1038-01,,Patrick Myers,CUST-203,meganstewart@example.org,34226041011641,"3469 Wagner Fords Apt. 601 Debbiefurt, MA 51751",Runner Shoes Pro,1.0,45.0,2.25,3.6,4.99,45.0,EUR,paid,partial,United States,Express,first-time,Call before delivery,,
#1039,2026-01-13,John Sanders,CUST-831,timothycarroll@example.org,,"7374 Matthew Extension Suite 300, Lake Dakota, ME 77904",Stainless Water Bottle,5.0,15.5,3.88,4.65,4.99,77.5,USD,refunded,fulfilled,United States of America,Local Delivery,,Call before delivery,#1039,
,2026-01-15,Dan Cole,,iguerrero@example.net,521787578740309,"53305 Megan Turnpike Suite 901 Lake Christine, WV 23492",Wh3y Protein,7.0,35.0,24.5,14.7,0.0,245.0,USD,refunded,cancelled,US-CA,Local Delivery,gift;vip;wholesale,,,2026-01-15
1041-01,2025-12-20,"Johnson, Joanne",20121,zward@example.org,,USCGC Ramsey FPO AP 15815,Whey Protein,9.0,35.0,0.0,,0.0,315.0,,partially refunded,partial,US,Local Delivery,,,,
01042,,"Ortiz, Michael",27125,haleernest@example.net,,"17833 Stewart Plaza Apt. 526 Brownside, AR 70686",Yoga Mat,10.5,29.99,44.98,17.99,4.99,299.9,USD,partially refunded,fulfilled,United States of America,International,gift;first-time,"Fragile, handle with care",01042,
1043,2026-01-01,"Roth, Leah",49512,schwartzmichele@example.com,12039925261,"PSC 8566, Box 0883 APO AA 32975",Dumbbell Set 20kg,10.0,45.0,0.0,27.0,4.99,450.0,,paid,unfulfilled,usa,International,backorder,"Fragile, handle with care",,
ORD1044,2025-05-12,Marc Jordan,43953,fieldscasey@example.net,4364336161,,Dumbbell Set 20kg,6.0,45.0,13.5,-16.2,0.0,270.0,EUR,chargeback,fulfilled,United States,Local Delivery,vip;wholesale;backorder,Call before delivery,,2025-05-12
#1045,2026-01-02,Benjamin Johnson,CUST-929,,8626914626,"0680 Quinn Forest Suite 307 Michellechester, WA 83775",Whey Protein,6.0,35.0,31.5,12.6,7.5,210.0,EUR,chargeback,fulfilled,United States,Express,gift;vip,Call before delivery,#1045,
#1046,2026-01-09,David Bullock,CUST-787,unknown@,9088424272,"37991 Malone Brook Ryanstad, CA 89135",yoga mat,4.0,-29.99,-17.99,0.1,9.99,-119.96,USD,partially refunded,fulfilled,USA,Pickup,vip;backorder;wholesale,Leave at door,,
,2025-12-26,Yvonne Tucker,CUST-367,lisa28 at example.net,00197187672220785,976 Hernandez Plaza Danielland WY 01092,Whey Protein,4.0,35.0,21.0,8.4,7.5,140.0,USD,paid,unfulfilled,US-CA,International,,Leave at door,,
ORD1048,2025-12-10,Anna Payne,CUST-658,bmiller@example.net,5665888103,"86221 Espinoza Fields Lake Oscarberg, OR 29136",WheyProtein,8.5,35.0,0.0,-19.6,,280.0,USD,partially refunded,fulfilled,U.S.A.,Pickup,first-time;vip;gift,,ORD1048,2025-12-10
ORD-1049,2026-01-09,Kelly Diaz,69298,whamilton@example.org,9982454387,,Yoga Matt,1.0,-15.5,-2.32,1.24,9.99,15.5,USD,chargeback,partial,US-CA,Express,wholesale,,,
01050,2026-01-20,Sarah Adams,CUST-927,jasonward@example.org,55229198759393,"810 Laura Mills, Harrismouth, VT 76915",Stainless Water Bottle,4.0,15.5,,4.96,0.0,-62.0,USD,partially refunded,fulfilled,USA,Standard,backorder,!!!,,
1051,2026-01-20,Lauren Grant,CUST-627,,001276684250725738,,Whey Protein,7.0,35.0,12.25,17.15,9.99,245.0,,paid,fulfilled,U.S.A.,Local Delivery,backorder;gift,Call before delivery,1051,
1052,2025-02-12,Jesse Griffin,13588,jessica68@example.org,,"516 Mark Lodge Michelleside, MP 10277",Running Shoes (Pro),10.0,89.99,45.0,62.99,4.99,899.9,USD,chargeback,fulfilled,United States,Express,wholesale,Leave at door,,2025-02-12
ORD-1053,2026-01-08,Jason Cook,CUST-420,raymondhorn@example.org,0017528940716,"6002 Maureen Views Suite 406 Ashleyview, CO 53713",running shoes (pro),2.5,89.99,0.2,10.8,7.5,179.98,,paid,cancelled,US-CA,Local Delivery,first-time,!!!,,
1054,2025-12-19,Matthew Cruz,CUST-405,kathleen38@example.net,5259189999,"366 Macias Mountain Apt. 141 West Yolanda, TN 15912",Dumbbell Set 20kg,3.0,-45.0,13.5,10.8,7.5,135.0,US$,chargeback,partial,"United States, CA",Pickup,,,1054,
1055,2025-12-10,Tracy Gould,36487,delacruzbrent@example.com,799576649762012,,Yoga Mat,10.5,29.99,44.98,20.99,7.5,299.9,USD,chargeback,cancelled,US-CA,Pickup,first-time;backorder,Call before delivery,,
1056,2026-01-19,Jennifer Richards,51408,,377580978041710,,Running Shoes (Pro),9.0,89.99,40.5,56.69,,809.91,EUR,paid,partial,USA,Pickup,vip,,,2026-01-19
01057,2026-01-17,Paula Mckee Dvm,33119,ricardo41@example.net,8496560440,,Yoga Mat,7.0,29.99,10.5,12.6,0.0,209.93,USD,paid,unfulfilled,"United States, CA",Express,vip;first-time;backorder,,01057,
01058,2026-01-20,"Mason, Holly",CUST-144,mullinsvictoria@example.org,9322167502,55679 Donna Creek Apt. 868 Port Jennifershire AL 11403,Stainless Water Bottle,5.0,15.5,-7.75,5.43,0.0,77.5,USD,partially refunded,fulfilled,U.S.A.,Standard,wholesale;vip;first-time,,,
1059-01,2026-01-24,Charles Barr,,shannon52@example.com,6545901351,"673 Collins Trafficway, Khanbury, NM 63006",running shoes (pro),5.0,89.99,67.49,36.0,-4.99,449.95,USD,refunded,partial,US,Express,,"Fragile, handle with care",,
,2021-02-14,Stephanie Garrett,28354,,4728171673,"8399 Winters Isle Port Michelle, VI 44130",Yoga Mat,3.0,29.99,9.0,7.2,0.0,89.97,US$,paid,cancelled,U S A,Standard,wholesale;first-time,,,2021-02-14
ORD1061,2025-12-27,Jessica Johnson,CUST-196,xconrad@example.com,0018154645168199,"304 Glenn Squares Apt. 437 South Ericside, NH 36636",Whey Protein,3.5,35.0,5.25,6.3,7.5,105.0,USD,paid,partial,United States,Standard,vip;gift;first-time,Call before delivery,,
01062,2025-11-28,Caitlin Williams,39014,huffmandavid at example.org,4994240239423,"3976 Thomas Harbors Suite 259 Parkerton, WI 79901",DumbbellSet20kg,8.0,45.0,36.0,28.8,9.99,360.0,US$,unpaid,cancelled,"United States, CA",Express,,Call before delivery,,
1063-01,,Kevin Clark,CUST-105,stephensvictor@example.com,745911622059122,35266 Tara Isle Suite 220 Scottberg NY 35976,Dumbb3ll Set 20kg,3.0,45.0,0.05,9.45,7.5,135.0,US$,chargeback,fulfilled,United States,Pickup,first-time;backorder,,1063-01,
#1064,2025-12-02,Elizabeth Hendrix,35674,duncancarolyn@example.com,00173780525567528,"9912 Bernard Street Richardsontown, PW 19462",Running Shoes (Pro),8.0,89.99,0.0,43.2,0.0,719.92,USD,partially refunded,fulfilled,U.S.A.,International,vip;wholesale,Leave at door,,2025-12-02
#1065,2025-12-13,Kara Beard,CUST-713,gjackson@example.net,7462184137488,"740 Pacheco Green Suite 247 North Jenniferville, FL 72353",Dumbbell Set 20kg,10.5,-45.0,45.0,0.2,,450.0,,refunded,unfulfilled,United States,Express,gift,Call before delivery,,
1066-01,2025-12-27,"Wright, Alicia",CUST-425,victor37@example.net,69024044331911,USNV Anderson FPO AP 32433,RunningShoes(Pro),10.0,89.99,89.99,,9.99,899.9,,paid,unfulfilled,United States of America,Express,wholesale,,1066-01,
01067,2025-12-22,"Pham, Rebecca",83015,nicolemedina@example.org,3573930676,"161 Nancy Ramp South Christychester, GA 65297",Whey Protein,1.0,35.0,,2.8,,35.0,USD,unpaid,cancelled,USA,Local Delivery,vip;backorder;wholesale,"Fragile, handle with care",,
#1068,2025-12-02,Jamie Morales,CUST-982,ruizkatherine at example.com,250734623164977,USNV Smith FPO AE 88887,Stainless Water Bottle,3.5,-15.5,0.0,3.72,7.5,46.5,EUR,paid,cancelled,United States of America,Express,first-time;backorder;gift,Call before delivery,,2025-12-02
#1069,2026-01-06,Ashley Hill,98409,andersonsherry@example.net,0016483285471,"7322 Rodgers Ramp Suite 161 Kennethville, OH 05261",Stainless Water Bottle,9.0,,6.98,8.37,,139.5,US$,refunded,fulfilled,US-CA,Express,gift;backorder,,#1069,
#1070,2026-01-08,Dawn Montoya,48553,anna90@example.net,417863513103723,"8385 Elizabeth Ports Apt. 604 South Joseph, VI 58615",Whey Protein,6.0,35.0,31.5,14.7,4.99,210.0,USD,paid,partial,United States,Standard,wholesale,"Fragile, handle with care",,
#1071,2025-12-26,Alexandra Bryant,65955,,25840296366072,"324 Stein Lock Suite 989 Bridgetfurt, GU 90250",Running Shoes (Pro),10.5,89.99,0.0,62.99,,899.9,,paid,cancelled,United States of America,Express,gift;wholesale;vip,Call before delivery,,
#1072,2026-01-18,Brian Robinson,CUST-801,chambersstacy@example.org,3645059783,"475 Reed Brooks Suite 058 East Susan, MP 71239",Whey Protein,2.5,35.0,0.0,5.6,9.99,70.0,,paid,partial,US-CA,International,,,#1072,2026-01-18
1073,2025-12-28,Anthony Higgins,CUST-938,rbraun@example.org,0016033694634,"60111 Suzanne Meadows Apt. 876 Nicoleville, KY 79269",Dumbbell Set 20kg,10.5,-45.0,0.0,36.0,7.5,450.0,USD,paid,partial,US-CA,Express,wholesale,Call before delivery,,
ORD1074,2025-01-12,Spencer Lam,CUST-145,amy40 at example.net,18864128614556,"420 Adam Ford North Kathleenchester, WA 50856",Dumbbell Set 20kg,7.0,45.0,31.5,-22.05,7.5,315.0,USD,unpaid,fulfilled,"California, US",Pickup,wholesale;vip;gift,"Fragile, handle with care",,
01075,2026-01-09,Alfred Daniels,,thompsondonna@example.net,,99832 Collins Passage South John PA 29996,United States of America,3.0,29.99,-0.0,7.2,-0.0,89.97,EUR,paid,cancelled,Runner Shoes Pro,Pickup,backorder;wholesale,,01075,
ORD-1076,2025-12-01,"Flores, Rachel",,jasonedwards@example.org,1703901638354792,"4761 James River Apt. 101 South Shannon, MH 40555",dumbbell set 20kg,7.0,45.0,0.0,0.1,,,,chargeback,cancelled,"California, US",Pickup,,Call before delivery,,2025-12-01
ORD-1077,,Beverly Nelson,CUST-123,unknown@,92487674098664,"3188 Flores Valleys Apt. 011 North Daniel, IN 55193",Running Shoes (Pro),6.5,89.99,0.0,37.8,4.99,539.9399999999999,USD,paid,unfulfilled,"United States, CA",International,gift;wholesale;first-time,,,
1078,,John Bailey,97408,n/a,2864213087,"4199 Townsend Wall Port Michele, MP 63530",dumbbell set 20kg,8.0,45.0,0.0,0.15,4.99,360.0,,paid,unfulfilled,US,Standard,wholesale;gift,Leave at door,1078,
1079,,James Hernandez,88184,brianpatterson@example.com,2185974111,"Unit 1729 Box 2918, DPO AP 59756",Dumbbell Set 20Kg,8.0,45.0,54.0,21.6,9.99,360.0,,paid,fulfilled,U.S.A.,Standard,gift;first-time;vip,,,
01080,,Bianca Mills,CUST-557,davidneal at example.org,5623313903,"317 Gibson Pine Lopezburgh, MT 43848",Dumbbell Set 20kg,6.0,45.0,0.05,16.2,,6.0,EUR,refunded,unfulfilled,US-CA,Standard,vip;wholesale,"Fragile, handle with care",,
1081,2025-12-24,Catherine Mccoy,90806,unknown@,7582897614352,,Yoga Mat,7.0,29.99,0.1,16.79,,209.93,EUR,paid,unfulfilled,"California, US",Local Delivery,,Call before delivery,1081,
1082,2026-01-26,"Harmon, Eric",,mhuang@example.org,1325532264940772,,Dumbb3ll Set 20kg,5.0,45.0,33.75,15.75,4.99,225.0,USD,paid,fulfilled,United States of America,Pickup,vip;gift;wholesale,"Fragile, handle with care",,
#1083,2025-12-29,Brandi Hudson,CUST-429,christy21@example.com,9206010140,"63874 Wilson Turnpike Apt. 760, Larryborough, VI 16543",Running Shoes (Pro),8.0,89.99,0.1,43.2,4.99,719.92,USD,unpaid,partial,USA,Express,vip;wholesale;backorder,,,
ORD1084,2025-12-27,Nathan Gill,CUST-645,pblankenship@example.org,00175252511677735,"84626 Ashley Skyway Suite 393 Reyesbury, KY 23898",Stainless Water Bottle,1.0,-15.5,2.32,0.93,9.99,15.5,USD,paid,unfulfilled,U.S.A.,Express,backorder;gift,!!!,ORD1084,2025-12-27
#1085,2026-01-19,William Stokes,78460,glenda33@example.net,5672853053,"0367 Margaret Unions Apt. 169 North Kyle, AZ 89497",Dumbbell Set 20kg,2.5,-45.0,-4.5,5.4,4.99,90.0,,paid,fulfilled,US-CA,Local Delivery,gift;wholesale;vip,Call before delivery,,
1086,,Andrew Davis,CUST-331,jamesbrooks@example.com,18804787826368,8817 Holly Ramp Suite 823 Tammyport AS 05950,Dumbbell Set 20kg,9.0,45.0,,28.35,0.0,405.0,EUR,refunded,partial,US,Local Delivery,gift,"Fragile, handle with care",,
1087,2026-01-07,Joel Turner,54490,ronald95 at example.org,88932348861177,"0340 Michael Centers Amandastad, MO 52151",Yoga Mat,4.0,29.99,0.0,7.2,4.99,119.96,USD,paid,unfulfilled,US-CA,International,,,1087,
01088,,"Allen, Paul",82682,tyler94@example.com,,"71214 John Loaf Apt. 643, East Jessicachester, AZ 80769",Runner Shoes Pro,8.5,45.0,-0.0,-25.2,,360.0,USD,chargeback,fulfilled,U S A,Standard,gift;backorder;wholesale,!!!,,
01089,2026-05-01,Olivia Thomas,79773,danabryant@example.net,1868343051451653,"434 Allen Forest Lake Kyle, CT 23217",Running Sho3s (Pro),9.0,89.99,0.0,0.2,7.5,,US$,refunded,cancelled,"United States, CA",Local Delivery,vip,!!!,,
1090-01,,Elizabeth Gordon,CUST-287,marksmith@example.net,001506253761358529,,United States of America,8.5,29.99,-0.0,16.79,-4.99,-239.92,,paid,partial,yoga mat,Express,backorder,,1090-01,
ORD1091,2016-01-08,Patrick Ward,39698,ghicks@example.com,0017412248826949,0775 Kimberly Camp Apt. 381 Michaeltown WY 04488,DUMBBELL SET 20KG,8.0,45.0,54.0,28.8,4.99,360.0,USD,paid,cancelled,U S A,Pickup,gift;first-time,Call before delivery,,
1092,,Terry Rivera,97764,vegapatrick@example.org,,"PSC 9057, Box 4175 APO AE 43097",Runner Shoes Pro,5.5,35.0,-8.75,10.5,0.0,175.0,EUR,paid,cancelled,US-CA,Standard,wholesale;gift,"Fragile, handle with care",,
1093,2025-12-02,Stephanie White,,smithmichael@example.org,4418780580,"881 Wilcox Streets Carrieburgh, MP 15770","United States, CA",5.0,45.0,0.0,0.05,4.99,225.0,,refunded,cancelled,Dumbbell Set 20kg,Pickup,first-time;gift,!!!,1093,
1094,2025-12-22,Janet Jones,CUST-763,masonchristopher at example.com,800485264035647,"78869 Raymond Hill Martinton, AZ 88324","United States, CA",8.5,,6.2,9.92,4.99,,USD,paid,fulfilled,stainless water bottle,Pickup,first-time,,,
1095,2025-12-18,William Wilson,61908,unknown@,29750641090672,"62898 Robert Row Kathleenland, IL 61579",Protein Whey,10.0,35.0,17.5,28.0,,350.0,USD,unpaid,partial,United States,Standard,wholesale;first-time;gift,Leave at door,,
#1096,,"Ballard, Dorothy",CUST-794,ellisrhonda@example.net,0015388024595601,"50945 Johnson Ports New Carolmouth, VT 96951",YOGA MAT,5.0,29.99,7.5,0.2,-9.99,149.95,USD,refunded,unfulfilled,U.S.A.,Standard,vip;first-time,Call before delivery,#1096,
ORD1097,2025-12-02,Michelle Perkins,82336,robertsonchristina@example.org,9506584831,98078 Ramirez Hills Apt. 905 Port Jamie ID 33556,Yoga Mat,8.0,29.99,12.0,0.2,4.99,239.92,EUR,unpaid,fulfilled,"United States, CA",Pickup,,Leave at door,,
1098,,Matthew Rose Phd,CUST-151,jacobbautista at example.net,,Unit 4298 Box 3409 DPO AP 70564,stainless water bottle,7.5,15.5,0.0,0.05,7.5,7.5,USD,refunded,unfulfilled,usa,Local Delivery,first-time;wholesale;vip,"Fragile, handle with care",,
1099-01,2026-01-07,Anthony Larsen,CUST-301,pachecoamber@example.com,9073807456624,"5117 Janet Pass Amandaside, MT 38240",Whey Protein,8.5,35.0,14.0,22.4,4.99,280.0,,paid,cancelled,"United States, CA",Pickup,first-time,"Fragile, handle with care",1099-01,
1100-01,2026-01-01,,98541,danawilson@example.org,21630237313510,"066 Cabrera Crossroad Abbottland, PA 75139",U.S.A.,8.0,29.99,35.99,-14.4,9.99,239.92,,unpaid,fulfilled,Yoga Mat,Express,vip;backorder,,,2026-01-01
#1101,2025-12-09,Stacy Jones,61690,cheryl70@example.com,,"553 Regina Gateway Port Pamview, OK 07808",Stainless Water Bottle,8.0,15.5,-6.2,7.44,4.99,,USD,unpaid,unfulfilled,USA,Pickup,vip,"Fragile, handle with care",,
1102,2025-12-01,Elizabeth Andrews,20960,amber85@example.org,15949193575,"4752 Olivia Island Apt. 355, East George, AS 25710",RUNNING SHOES (PRO),6.0,89.99,80.99,37.8,0.0,6.0,,unpaid,cancelled,"California, US",Pickup,first-time;wholesale,Call before delivery,1102,
#1103,2026-01-11,Taylor Garza,CUST-962,garciadaniel@example.org,148790637152097,"7465 Andersen Rue Owensview, GU 24226",Whey Protein,4.0,35.0,7.0,9.8,7.5,140.0,US$,chargeback,fulfilled,U.S.A.,Express,vip,"Fragile, handle with care",,
ORD1104,2021-02-19,Pamela Foster,,gallegoscourtney at example.net,001967828411211561,,Stainless Water Bottle,4.0,15.5,0.1,4.34,9.99,62.0,USD,partially refunded,fulfilled,United States,International,backorder;vip;wholesale,,,2021-02-19
ORD1105,2026-09-01,Gail Marsh,CUST-686,samantha53@example.org,,"PSC 1731, Box 8861 APO AP 28367",WheyProtein,10.0,,52.5,0.05,4.99,350.0,,chargeback,fulfilled,U.S.A.,Local Delivery,wholesale;first-time;gift,,ORD1105,
#1107,,"Hanson, Dwayne",74265,rsweeney@example.net,61298126180090,"466 English Estates West Kristifurt, TX 79927",Yoga Mat,10.0,-29.99,0.0,20.99,7.5,299.9,,paid,cancelled,"California, US",Express,backorder,"Fragile, handle with care",,
